,a,b
824,IDRK,I Don’t Really Know
825,IDST,"If Destroyed, Still True"
826,IDT,I Don’t Think
827,IDTS,I Don’t Think So
828,IDU,I Don’t Understand
829,IDUNNO,I Don’t Know
830,IDW,I Don’t Want
831,IDWK,I Don’t Wanna Know
832,IDWT,I Don’t Want To
833,IDWTAI,I Don’t Wanna Talk About It
834,IDWTK,I Don’t Want to Know
835,IE,Id Est (that is) Internet Explorer
836,IED,Improvised Explosive Device
837,IEEE,Institute of Electrical and Electronics Engineers
838,IEP,Individualized Education Program
839,IFM,In Fond Memory
840,IGI,I Get It
841,IGM,I Got Mine
842,IGMC,I’ll Get My Coat
843,IGN,In Game Name
844,IGNB,"I’m Going Now, Bye"
845,IGNTS,I’ve Got Nothing To Say
846,IGS,I Guess So
847,IGTG,I Got To Go
848,IGU,I Give Up
849,IGWT,In God We Trust
850,IGY,I Get You
851,IGYB,I’ve Got Your Back
852,IH8U,I Hate You
853,IHAC,I Have A Customer…
854,IHDK,I Honestly Don’t Know
855,IHM,I Hate Mondays
856,IHML,I Hate My Life
857,IHNC,I Have No Clue
858,IHNI,I Have No Idea
859,IHO,In Honor Of
860,IHOP,International House of Pancakes
861,IHP,I Hate People
862,IHS,I Hope So
863,IHT,I Hate This
864,IHY,I Hate You
865,IHYDM,I Hope You Don’t Mind
866,IHYSM,I Hate You So Much
867,IIB,Ignorance Is Bliss
868,IIFYM,If It Fits Your Macros
869,IIH,If I’m Honest
870,IIL,I’m In Love
871,IINM,If I’m Not Mistaken
872,IIR,Idiot In Room
873,IIRC,If I Remember Correctly
874,IIS,Internet Information Services
875,IITUWUTMAS,If I Tell You Will You Tell Me A Secret?
876,IITWI,In It To Win It
877,IITYWIMIWHTKY,If I Tell You What It Means I Will Have to Kill You
878,IITYWTMWYBMAD,If I Tell You What This Means Will You Buy Me a Drink?
879,IITYWTMWYKM,If I Tell You What This Means Will You Kiss Me?
880,IITYWYBMAD,If I Tell You Will You Buy Me A Drink
881,IIUC,If I Understand Correctly
882,IIWII,It Is What It Is
883,IIWY,If I Were You
884,IJ,I’m Joking
885,IJAF,It’s Just A Fact
886,IJDK,I Just Don’t Know
887,IJG,I Just Giggled
888,IJK,I’m Just kidding
889,IJL,I Just Laughed
890,IJS,I’m Just Saying
891,IJWTK,I Just Want To Know
892,IJWTS,I Just Want To Say
893,IK,I Know
894,IKH,"I Know, Huh?"
895,IKHYF,I Know How You Feel
896,IKLY,I Kinda Like You
897,IKM,I Know Man
898,IKMTY,I Know More Than You
899,IKN,I Know Not
900,IKR,"I Know, Right"
901,IKT,I Knew That
902,IKTF,I Know The Feeling
903,IKTR,I Know That’s Right
904,IKWUM,I Know What You Mean
905,IKWYDLS,I Know What You Did Last Summer
906,IKWYL,I Know Where You Live
907,IKWYM,I Know What You Mean
908,IKY,I Know You
909,IKYP,I’ll Keep You Posted
910,IL,In Love
911,ILD,Ich Liebe Dich (I Love You)
912,ILH,I Love Him/Her
913,ILI,I Love It
914,ILM,I lige m
915,ILML,I Love My Life
916,ILMO,In Loving Memory Of
917,ILNY,I Love New York
918,ILS,Inflated Lat Syndrome
919,ILT,I Like That
920,ILY,I Love You
921,ILY2,I Love You Too
922,ILYA,I Love You All
923,ILYAAF,I Love You As A Friend
924,ILYAM,I Love You As a Mate
925,ILYB,I Love You Both
926,ILYF,I’ll Love You Forever
927,ILYG,I Love You Guys/Girls
928,ILYK,I’ll Let You Know
929,ILYL,I Love You Lots
930,ILYLAS,I Love You Like A Sister
931,ILYLT,I Love You Long Time
932,ILYM,I Love You More
933,ILYSDM,I Love You So Damn Much
934,ILYSM,I Love You So Much
935,ILYSMB,I Love You So Much Baby
936,ILYSMM,I Love You So Much More
937,ILYT,I Love You Too
938,ILYTB,I Love You To Bits
939,ILYVM,I Love You Very Much
940,ILYWAMH,I Love You With All My Heart
941,IM,Instant Message
942,IMAHO,In My Absolutely Honest Opinion
943,IMAO,In My Arrogant Opinion
944,IMAP,Internet Message Access Protocol
945,IMBO,In My Biased Opinion
946,IMCO,In My Considered Opinion
947,IMD,In My Defence
948,IMDB,Internet Movie Database
949,IME,In My Experience
950,IMEO,In My Educated Opinion
951,IMF,International Monetary Fund
952,IMH,In My Head
953,IMHO,In My Humble Opinion
954,IMK,In My Knowledge
955,IMMAO,In My Most Arrogant Opinion
956,IMMD,It Made My Day
957,IMML,It Made Me Laugh
958,IMNSHO,In My Not So Humble Opinion
959,IMO,In My Opinion
960,IMOO,In My Own Opinion
961,IMP,It’s My Pleasure
962,IMPO,In My Personal Opinion
963,IMR,"I Mean, Really"
964,IMS,Irritable Male Syndrome
965,IMSMR,If Memory Serves Me Right
966,IMU,I Miss You
967,IMUSM,I Miss You So Much
968,IMVU,Instant Messaging Virtual Universe
969,IMWTK,Inquiring Minds Want To Know
970,IMY,I Miss You
971,IMYA,I Miss You Already
972,IMYM,I Miss You More
973,IMYSM,I Miss You So Much
974,IMYT,I Miss You Too
975,INAH,I Need A Hug
976,INB,I’m Not Bothered
977,INBD,It’s No Big Deal
978,INCYDK,In Case You Didn’t Know
979,INPO,In No Particular Order
980,INRS,It’s Not Rocket Science
981,INS,I’m Not Sure
982,INTK,I Need To Know
983,INTP,Introverted iNtuitive Thinking Perceiving (personality type indicator)
984,INVU,I Envy You
985,INWLY,I Never Wanna Lose You
986,INY,I Need You
987,IOAB,I’m On A Boat
988,IOC,International Olympic Committee
989,IOH,I’m Outta Here
990,IOI,Indication of Interest I’m Over It
991,IOIC,If Only I Could
992,IOKIYAR,It’s Okay If You’re A Republican
993,IOM,Isle Of Man
994,IOMW,I’m On My Way
995,ION,In Other News
996,IOU,I Owe You
997,IOW,In Other Words
998,IOYK,If Only You Knew
999,IP,Internet Protocol Intellectual Property
1000,IPA,India Pale Ale Internet Protocol Address
1001,IPC,Ignore Post Count
1002,IPO,Initial Public Offering
1003,IQ,Intelligence Quotient
1004,IR,Infrared Injured Reserve
1005,IRA,Irish Republican Army
1006,IRAH,Insert Relevant Acronym Here
1007,IRC,Internet Relay Chat
1008,IRDC,I Really Don’t Care
1009,IRDK,I Really Don’t Know
1010,IRL,In Real Life
1011,IRLY,I Really Like You
1012,IRMC,I Rest My Case
1013,IRS,Internal Revenue Service
1014,ISB,I’m So Bored
1015,ISBN,International Standard Book Number
1016,ISDK,I Simply Don’t Know
1017,ISDN,Integrated Services Digital Network
1018,ISHK,I Should Have Known
1019,ISLY,I Still Love You
1020,ISO,In Search Of
1021,ISP,Internet Service Provider
1022,ISS,International Space Station I’m So Sorry
1023,ISSN,International Standard Serial Number
1024,ISTATOY,I Saw This And Thought Of You
1025,ISTG,I Swear To God
1026,ISTM,It Seems To Me
1027,ISTR,I Seem To Recall
1028,ISWYDT,I See What You Did There
1029,ISWYM,I See What You Mean
1030,IT,Information Technology
1031,ITA,I Totally Agree
1032,ITAI,I’ll Think About It
1033,ITALY,I Trust And Love You
1034,ITC,In This Channel In That Case
1035,ITF,In The Future
1036,ITG,In The Groove
1037,ITIAILWY,I Think I Am In Love With You
1038,ITIKY,I Think I Know You
1039,ITILU,I Think I Love You
1040,ITILY,I Think I Love You
1041,ITK,In The Know
1042,ITM,In the Mouth
1043,ITMA,It’s That Man Again
1044,ITN,I Think Not
1045,ITO,In Terms Of
1046,ITOY,I’m Thinking Of You
1047,ITP,Inside The Perimeter
1048,ITS,I Think/Thought So
1049,ITSO,In The Style Of
1050,ITT,In This Thread
1051,ITTET,In These Tough Economic Times
1052,ITV,Independent TV (UK)
1053,ITWYM,Is That What You Mean?
1054,ITYF,I Think You’ll Find
1055,ITYL,I’ll Tell You Later
1056,ITYM,I Think You Mean
1057,ITYS,I Told You So
1058,IVF,In Vitro Fertilization
1059,IWALY,I Will Always Love You
1060,IWBB,I Will Be Back
1061,IWC,Internet Wrestling Community
1062,IWHI,I Would Hit It
1063,IWID,It’s What I Do
1064,IWIK,I Wish I Knew
1065,IWIWT,I Wish I Were There
1066,IWM,It Wasn’t Me
1067,IWOOT,I Want One Of Those
1068,IWTD,I Want To Die
1069,IWY,I Want You
1070,IYAM,If You Ask Me
1071,IYBTYBA,"If You Believe That, You’ll Believe Anything"
1072,IYD,In Your Dreams
1073,IYDK,If You Didn’t Know
1074,IYDM,If You Don’t Mind
1075,IYF,In Your Face
1076,IYGM,If You Get Me
1077,IYH,In Your Head
1078,IYKWIM,If You Know What I Mean
1079,IYL,If You’re Lucky It’s Your Life
1080,IYO,In Your Opinion
1081,IYSS,If You Say So
1082,IYSWIM,If You See What I Mean
1083,IYTT,If You Think That
1084,IYW,If You Want/Will
1085,IYWW,If You Were Wondering
1087,JAF,Just A Friend
1088,JAFA,Just Another F***ing Aucklander
1089,JAPAN,Just Always Pray At Night
1090,JAS,Just A Second
1091,JAT,Just A Thought
1092,JATQ,Just Answer The Question
1093,JB,Jail Bait Jonas Brothers
1094,JBH,Just Being Honest
1095,JBT,Jack-Booted Thug
1096,JBU,Just Between Us
1097,JBY,Just Be Yourself
1098,JC,Jesus Christ Just Curious Just Chilling
1099,JCB,J C Bamford (excavator manufacturer)
1100,JD,Jack Daniel’s
1101,JDI,Just Do It
1102,JDLR,Just Doesn’t Look Right
1103,JDM,Japanese Domestic Market
1104,JFF,Just For Fun
1105,JFK,John Fitzgerald Kennedy New York airport Just For Kicks
1106,JFN,Just For Now
1107,JFT,Just For Today
1108,JFTR,Just For The Record
1109,JFY,Just For You
1110,JFYI,Just For Your Information
1111,JG,Juicy Gossip
1112,JGB,Just Got Back
1113,JGH,Just Got Home
1114,JGI,Just Google It
1115,JGL,Just Get Lost
1116,JHC,Jesus H Christ
1117,JHP,Jacketed Hollow Point (bullet)
1118,JIC,Just In Case
1119,JICYDK,Just In Case You Didn’t Know
1120,JJ,Just Joking
1121,JK,Just Kidding
1122,JKD,Jeet Kune Do (Martial Art)
1123,JLMK,Just Let Me Know
1124,JLS,Jack the Lad Swing (band)
1125,JLT,Just like that
1126,JLUK,Just Letting You Know
1127,JLY,Jesus Loves You
1128,JLYK,Just Letting You Know
1129,JM,Just Messing
1130,JMA,Just Messing Around
1131,JMHO,Just My Humble Opinion
1132,JML,Just My Luck
1133,JMO,Just My Opinion
1134,JMS,Just Making Sure
1135,JMT,Just My Thoughts
1136,JN,Just Now
1137,JOOC,Just Out Of Curiosity
1138,JP,Just Playin’
1139,JPA,Just Playing Around
1140,JPEG,Joint Photographic Experts Group Image file format
1141,JROTC,Junior Reserve Officer Training Corps
1142,JRPG,Japanese Role Playing Game
1143,JS,Just Saying
1144,JSMN,Just Shoot Me Now
1145,JSP,Java Server Pages
1146,JSU,Just Shut Up
1147,JSYK,Just So You Know
1148,JTB,Just Too Bad
1149,JTC,Join The Club
1150,JTLYK,Just To Let You Know
1151,JTOL,Just Thinking Out Loud
1152,JTOY,Just Thinking Of You
1153,JTTY,Just To Tell You
1154,JTUSK,Just Thought You Should Know
1155,JUAD,Jumping Up And Down
1156,JV,"Junior Varsity, amateur"
1157,JW,Just Wondering
1158,JWAS,Just Wait And See
1159,JWD,Job Well Done
1160,JWG,Just a Wild Guess
1161,JWTK,Just Wanted To Know
1162,JWTLYK,Just Wanted To Let You Know
1163,JWU,Just Woke Up
1164,JWW,Just Was Wondering
1165,KAFM,Keep Away From Me
1166,KCACO,Keep Calm And Carry On
1167,KCCO,Keep Calm and Chive On
1168,KD,Kraft Dinner
1169,KDR,Kill/Death Ratio
1170,KF,Kinda Funny
1171,KFC,Kentucky Fried Chicken
1172,KGB,Russian secret police
1173,KH,Kingdom Hearts ( )
1174,KHYF,Know How You Feel
1175,KIA,Killed In Action Know It All
1176,KICKS,Shoes Thrills
1177,KIG,Keep It Gangsta
1178,KIM,Keep It Moving
1179,KIO,Knock it off
1180,KIP,Sleep Bed
1181,KIR,Keepin’ It Real
1182,KIRF,Keeping It Real Fake
1183,KIS,Keep It Simple
1184,KISA,Knight In Shining Armour
1185,KISS,"Keep It Simple, Stupid"
1186,KIT,Keep In Touch
1187,KIU,Keep It Up
1188,KIV,Keep In View
1189,KKK,Ku Klux Klan
1190,KKKK,Korean LOL
1191,KM,Keep Mum
1192,KMFC,Keeping My Fingers Crossed
1193,KML,Killing Myself Laughing
1194,KMN,Kill Me Now
1195,KMP,Keep Me Posted
1196,KMT,Kiss My Teeth
1197,KMU,Keep Me Updated
1198,KOD,Kiss Of Death
1199,KOS,Kill On Sight
1200,KOTC,Kiss On The Cheek
1201,KOTH,King of the Hill (game)
1202,KOTL,Kiss On The Lips
1203,KOTOR,Knights Of The Old Republic (Game)
1204,KP,Korean Pride
1205,KPC,Keep Parents Clueless
1206,KPG,Keep the Party Going
1207,KPI,Key Performance Indicator
1208,KR,Kind Regards
1209,KRO,Keep Right On
1210,KS,Kill Steal
1211,KTBFFH,Keep The Blue Flag Flying High! (Chelsea FC Moto)
1212,KTBSPA,Keep The Backstreet Pride Alive
1213,KTF,Keep The Faith
1214,KWIM,Know What I Mean?
1215,KWIS,Know What I’m Saying?
1216,KYFC,Keep Your Fingers Crossed
1217,KYO,Knock Yourself Out
1218,KYP,Keep You Posted
1219,LAFS,Love At First Sight
1220,LAK,Love And Kisses
1221,LAL,Laughing A Lot/Little
1222,LALB,Laughing A Little Bit
1223,LAM,Leave A Message Run
1224,LAMN,Look At Me Now
1225,LAN,Local Area Network
1226,LAPD,Los Angeles Police Department
1227,LARP,Live Action Role Play
1228,LART,Luser Attitude Readjustment Tool
1229,LASER,Light Amplification by Stimulated Emission of Radiation
1230,LAT,Living Apart Together
1231,LATM,Laughing At The Moment
1232,LBC,"Long Beach, California"
1233,LBD,Little Black Dress
1234,LBDN,Look Busy Doing Nothing
1235,LBH,Let’s Be Honest Loser Back Home
1236,LBM,Little Big Man
1237,LBNL,Last But Not Least
1238,LBR,Loser Beyond Repair
1239,LBRS,Lower Blackrock Spire ( )
1240,LBVS,Laughing But Very Serious
1241,LBW,Leg Before Wicket (cricket)
1242,LC,Lower Case
1243,LCD,Liquid Crystal Display
1244,LCTS,Let’s Change The Subject
1245,LD,Link Dead (Disconnection From Internet)
1246,LDA,Long Distance Affair
1247,LDH,Long Distance Hug
1248,LDI,Let’s Do It
1249,LDL,Long Distance Lover
1250,LDO,"Like Duh, Obviously"
1251,LDR,Long Distance Relationship
1252,LDS,Latter Day Saint
1253,LE,Limited Edition Law Enforcement
1254,LEC,Local Exchange Carrier
1255,LED,Light Emiting Diode
1256,LEO,Law Enforcement Officer
1257,LEV,Low Emission Vehicle
1258,LF,Looking For
1259,LF1M,Looking For One More
1260,LFDY,"Live Fast, Die Young"
1261,LFG,Looking For Group
1262,LFM,Looking For More
1263,LFMF,Learn From My Fail
1264,LFP,Looking For Party (in  )
1265,LFTI,Looking Forward To It
1266,LFTSU,Look Forward To Seeing You
1267,LFW,Looking For Work
1268,LG,Little Girl
1269,LGBTQ,"Lesbian, Gay, Bisexual, Trans, Questioning"
1270,LGD,Let’s Get Drunk
1271,LGFB,Looks Good From Behind
1272,LGMH,Love Gives Me Hope
1273,LGO,Life Goes On
1274,LGT,Link Goes To …
1275,LGTM,Looks Good To Me
1276,LH,Living Hell
1277,LHH,Laughing Hella Hard
1278,LHK,"Love, Hugs and Kisses"
1279,LHM,Lord Have Mercy Lord Help Me
1280,LHYW,Like Hell You Will
1281,LI,Laughing Inside
1282,LIFO,Last In First Out
1284,LIG,Let It Go
1285,LIH,Laugh In Head
1286,LIHOP,Let It Happen On Purpose
1287,LIITA,Love Is In The Air
1288,LILABOC,Life Is Like A Box Of Chocolates
1289,LIMB,Laughing In My Brain
1290,LIMH,Laughing In My Head
1291,LIMM,Laughing In My Mind
1292,LIRL,Laughing In Real Life
1293,LIS,Laughing In Silence
1294,LITS,Life Is Too Short
1295,LIU,Look It Up
1296,LJBF,Let’s Just Be Friends
1297,LL,"Laugh Loudly, LOL"
1298,LLAP,Live Long and Prosper
1299,LLC,Limited Liability Company Laughing Like Crazy
1300,LLH,Laughing Like Hell
1301,LLL,Loony Liberal Left
1302,LLTTF,Living Life To The Fullest
1303,LM,Loud Mouth
1304,LMA,Leave Me Alone
1305,LMAD,Let’s Make A Deal
1306,LMAM,Leave Me A Message
1307,LMAP,Leave Me Alone Please
1308,LMC,Let Me Check
1309,LMCO,Laughing My Cats Off
1310,LMG,Light Machine Gun
1311,LMGTFY,Let Me Google That For You
1312,LMHO,Laughing My Head Off
1313,LMIRL,Let’s Meet In Real Life
1314,LMK,Let Me Know
1315,LML,Love My Life
1316,LMPO,Laughing My Pants Off
1317,LMR,Last Minute Resistance
1318,LMS,Like My Status Last Man Standing
1319,LMSO,Laughing My Socks Off
1320,LMT,Let Me Think
1321,LMTAL,Let Me Take A Look
1322,LNF,Life’s Not Fair
1323,LNIB,Like New In Box
1324,LNT,Leave No Trace
1325,LOA,Leave of Absence
1326,LOL,Laughing Out Loud
1327,LOLAK,Lots Of Love And Kisses
1328,LOLL,Laugh Out Loud Literally
1329,LOLOL,Lots Of Laughing Out Loud
1330,LOLV,Lots Of Love
1331,LOMB,Lying On My Bed
1332,LOML,Love Of My Life
1333,LOMO,"Lights Out, Missionary Only"
1334,LOOL,Laughing Outlandishly Out Loud
1335,LOQ,Laugh Out Quietly
1336,LORL,Laugh Out Really Loud
1337,LOS,Line Of Site
1338,LOTD,Link Of The Day
1339,LOTI,Laughing On The Inside
1340,LOTR,Lord of the Rings
1341,LOTRO,Lord Of The Rings Online ( )
1342,LOVL,Laughing Out Very Loud
1343,LOYOL,Live Out Your Own Life
1344,LOZ,Legend of Zelda
1345,LP,Long Play (record)
1346,LPG,Liquefied Petroleum Gas
1347,LPT,Life Pro Tip
1348,LQI,Laughing Quietly Inside
1349,LQL,Laughing Quite Loudly
1350,LQTM,Laughing Quietly To Myself
1351,LQTMS,Laughing Quietly To Myself
1352,LQTY,Laughing Quietly To Yourself
1353,LRF,Low Resolution Fox
1354,LRG,Lifted Research Group (clothing)
1355,LRL,Laughing Really Loud
1356,LSAT,Law School Admission Test
1357,LSE,London School of Economics Low Self-Esteem
1358,LSH,Laughing So Hard
1359,LSHIC,Laughing So Hard I’m Crying
1360,LSHIDMT,Laughing So Hard I Drop My Taco
1361,LSHMBH,Laughing So Hard My Belly Hurts
1362,LSI,Limited Social Interaction
1363,LSMFT,Lucky Strike Means Fine Tobacco
1364,LSMIH,Laughing So Much It Hurts
1365,LSP,Love Sick Puppy
1366,LSS,Last Song Syndrome
1367,LSTM,Laughing Silently To Myself
1368,LTA,Love To All
1369,LTB,Looking To Buy
1370,LTD,Live/Living The Dream
1371,LTG,Learn To Google
1372,LTH,Love Truth Honor
1373,LTIC,Laugh Til I Cry
1374,LTL,Living The Life
1375,LTM,Laughing To Myself
1376,LTMA,"Less Talk, More Action"
1377,LTMQ,Laughing To Myself Quietly
1378,LTMS,Laughing To Myself
1379,LTNC,Long Time No Chat
1380,LTNS,Long Time No See
1381,LTNT,Long Time No Talk
1382,LTP,Lost The Plot
1383,LTR,Long term relationship
1384,LTS,Laugh To Self
1385,LTY,Laugh To Yourself
1386,LUI,Living Under the Infuence
1387,LUL,Lame Uncomfortable Laugh
1388,LULAB,Love You Like A Brother
1389,LULAS,Love You Like A Sister
1390,LV,Louis Vuitton Las Vegas Level
1391,LW,Lucky Win
1392,LWICD,Look What I Can Do
1393,LWKM,Laugh Wan Kill Me ( )
1394,LWKMD,Laugh Wan Kill Me Die
1395,LWM,Laugh With Me
1396,LWP,Laughing With Passion
1397,LWT,Look Who’s Talking
1398,LWWY,Live While We’re Young
1399,LY,Love You
1400,LYA,Love You Always
1401,LYAAF,Love You As A Friend Love You Always And Forever
1402,LYB,"Love You, Bye"
1403,LYF,Love You Forever
1404,LYK,Let you know
1405,LYL,Love You Lots
1406,LYLAB,Love You Like A Brother
1407,LYLAF,Love You Like A Friend
1408,LYLAS,Love You Like A Sister
1409,LYLC,Love You Like Crazy
1410,LYLMB,Love You Like My Brother
1411,LYLT,Love You Long Time
1412,LYM,Love You More
1413,LYMI,"Love You, Mean It"
1414,LYMY,"Love You, Miss You"
1415,LYMYWY,"Love You, Miss You, Want You"
1416,LYR,Love You Really
1417,LYSM,Love You So Much
1418,LYT,Love You Too
1419,LYTD,Love You To Death
1420,LZ,Landing Zone
1421,MA,Mom alert Master of Arts
1422,MAAB,Male-Assigned At Birth
1423,MAC,Media Access Control Macintosh
1424,MADD,Mothers Against Drunk Driving
1425,MAPOTI,Most Annoying People On The Internet
1426,MAS,Mildly Amused Smirk
1427,MAW,Might As Well
1428,MAWOY,May Angels Watch Over You
1429,MBA,Masters of Business Association Married But Available
1430,MBD,My Bad Dudes
1431,MBF,My Best Friend
1432,MBFAM,My Brother From Another Mother
1433,MBM,Married Black Male
1434,MBN,Must Be Nice
1435,MBO,Must Be Off Management Buy-Out
1436,MBPS,MegaBits/Bytes Per Second
1437,MBR,Master Boot Record
1438,MBT,Masai Barefoot Technology (trainers)
1439,MBW,Married Black Woman
1440,MC,Master of Ceremonies
1441,MCL,Much Clown Love
1442,MCM,Man Crush Monday
1443,MCP,Male Chauvanist Pig
1444,MCR,My Chemical Romance (band)
1445,MCW,Man Crush Wednesday
1446,MDF,Medium Density Fiberboard
1447,MDK,Murder Death Kill
1448,MDR,Mort De Rire (  in French)
1449,MDW,Memorial Day Weekend
1450,MEGO,My Eyes Glazed Over
1451,MFC,Mildly Fat Chick Microsoft Foundation Classes
1452,MFEO,Made For Each Other
1453,MFG,Mit Freundlichen Gruessen (German)
1454,MFL,Marked For Later
1455,MFW,My Face When …
1456,MGBY,May God Bless You
1457,MGD,Miller Genuine Draft
1458,MGK,Machine Gun Kelly
1459,MGM,Male Genital Mutilation
1460,MGMT,The Management (band)
1461,MGO,Metal Gear Online (game)
1462,MGS,Metal Gear Solid (game)
1463,MH,Map Hack
1464,MHBFY,My Heart Bleeds For You
1465,MHO,My Honest Opinion
1466,MHOTY,My Hat’s Off To You
1467,MHR,Many Happy Returns
1468,MI6,Military Intelligence Service 6
1469,MIA,Missing In Action
1470,MIB,Men In Black Mint In Box
1471,MIDI,Musical Instrument Digital Interface
1472,MIGA,Make It Go Away
1473,MIH,Make It Happen
1474,MIHOP,Made It Happen on Purpose
1475,MIL,Mother In Law
1476,MIMO,Multiple Input Multiple Output
1477,MIP,Minor In Possession
1478,MIPS,Million Instructions Per Second
1479,MIRL,Meet In Real Life
1480,MISB,Mint (condition) In Sealed Box
1481,MISO,My Internet Shut Off
1482,MJ,Michael Jackson Michael Jordan Marijuana
1483,MLAS,My Lips Are Sealed
1484,MLB,Major League Baseball
1485,MLG,Major League Gaming
1486,MLIA,My Life Is Average
1487,MLIB,My Life Is Bro
1488,MLIG,My Life Is Great/Good
1489,MLIM,My Life Is Magic
1490,MLM,Multi-Level Marketing Middle finger (mlm)
1491,MLP,My Little Pony
1492,MLS,My Life Sucks
1493,MLTR,Multiple Long Term Relationships
1494,MLYP,Much Like Your Post
1495,MM,Married Man
1496,MM2,Message Mode 2 ( )
1497,MMA,Meet Me At…
1498,MMAMP,Meet Me At My Place
1499,MMAO,Make Me An Offer
1500,MMC,MultiMedia Card
1501,MMD,Make My Day
1502,MMH,Meet Me Halfway
1503,MMI,Me Myself and I
1504,MML,Made Me Laugh
1505,MMOFPS,Massively Multiplayer Online First Person Shooter
1506,MMORPG,Massively Multiplayer Online Role Playing Game
1507,MMS,Multimedia Messaging Service
1508,MMT,Makes Me Think
1509,MMV,Mileage May Vary
1510,MNC,Mobile Network Code
1511,MNF,Monday Night Football
1512,MNT,Maybe Next Time
1513,MO,Modus Operandi (method of operation)
1514,MOAB,Mother of All Bombs Massive Ordnance Air Blast
1515,MOAM,Man On A Mission
1516,MOAS,Mother Of All Secrets
1517,MOBA,Multiplayer Online Battle Arena
1518,MOC,Marriage Of Convenience My Own Creation
1519,MOH,My Other Half
1520,MOL,More Or Less
1521,MOO,Matter of Opinion My Own Opinion
1522,MOPO,Master Of the Painfully Obvious
1523,MOQ,Minimum Order Quantity
1524,MOS,Mom Over Shoulder
1525,MOT,Ministry Of Transport test for car safety
1526,MOTB,Mother Of The Bride
1527,MOTD,Message Of The Day Match Of The Day
1528,MOTKU,Master Of The Known Universe
1529,MOTO,Master Of The Obvious
1530,MOTWYW,Make Of That What You Will
1531,MOU,Memorandum Of Understanding
1532,MP,Military Police Member of Parliament
1533,MPA,Music Publishers’ Association
1534,MPAA,Motion Picture Assosciation of America
1535,MPE,My Point Exactly
1536,MPEG,Moving Picture Experts Group Audio/visual file format
1537,MPG,Miles Per Gallon
1538,MPH,Miles Per Hour
1539,MPO,My Personal Opinion
1540,MPOG,Multiplayer Online Game
1541,MPUA,Master Pick Up Artist
1542,MPV,Multi-Purpose Vehicle
1543,MR,Mentally Retarded
1544,MRE,"Meal, Ready to Eat"
1545,MRI,Magnetic Resonance Imaging
1546,MRP,Manufacturer’s Recommended Price
1547,MRW,My Reaction When…
1548,MSDN,Microsoft Developer Network
1549,MSDOS,Microsoft Disk Operating System
1550,MS-DOS,Microsoft Disk Operating System
1551,MSF,Male Seeking Female
1552,MSFAM,My Sister From Another Mister
1553,MSG,Message Monosodium Glutamate
1554,MSI,Mindless Self Indulgence (band)
1555,MSM,Mainstream Media
1556,MSRP,Manufacturer’s Suggested Retail Price
1557,MST,Mystery Science Theater
1558,MTA,More Than Anything
1559,MTBF,Mean Time Between Failures (reliability)
1560,MTBMW,May The Best Man Win
1561,MTC,More To Come
1562,MTD,Month To Date
1563,MTE,My Thoughts Exactly
1564,MTF,Male To Female
1565,MTFBWY,May The Force Be With You
1566,MTG,Magic: The Gathering (game)
1567,MTLBWY,May The Lord Be With You
1568,MTO,Media Take Out (gossip website)
1569,MTUK,More Than You Know
1570,MTV,Music Television
1571,MTW,Mum’s the Word
1572,MTYK,More Than You Know
1573,MU,Multi User
1574,MUA,Make-Up Alley (website)
1575,MUD,"Multi-User Dungeon,"
1576,MUNG,Mash Until No Good
1577,MVA,Motor Vehicle Accident
1578,MVP,Most Valuable Player
1579,MW2,Modern Warfare 2 (game)
1580,MW3,Modern Warfare 3 (game)
1581,MWC,Married With Children
1582,MWF,Married White Female
1583,MWI,Mad With It (drunk)
1584,MWM,Married White Male
1585,MWPP,"Moony, Wormtail, Padfoot, and Prongs (Harry Potter)"
1586,MY,Miss You
1587,MYB,Mind Your Business
1588,MYCH,Maybe You Can Help
1589,MYF,Miss Your  Face
1590,MYGGWY,May Your God Go With You
1591,MYL,Miss You Loads
1592,MYMP,Make Your Mama Proud
1593,MYOB,Mind Your Own Business
1594,MYODB,Mind Your Own Damn Business
1595,MYSM,Miss You So Much
1596,MYT,Meet You There
1597,NA,Not Available Not Applicable Not Announced
1598,NAA,Not At All
1599,NAACP,National Association for the Advancement of Colored People
1600,NABD,Not A Big Deal
1601,NAC,Not A Chance Not A Chain (letter)
1602,NAGL,Not A Good Look
1603,NAK,Nursing At Keyboard
1604,NAL,Need A Life
1605,NALGAS,Buttocks
1606,NALGO,Not A Lot Going On
1607,NALOPKT,Not A Lot Of People Know That.
1608,NAMBLA,North American Man/Boy Love Association
1609,NAP,Not A Problem
1610,NARP,Non-Athletic Regular Person
1611,NARU,Not A Registered User
1612,NAS,Network Attached Storage
1613,NASA,National Aeronautics and Space Administration
1614,NASCAR,National Association for Stock Car Auto Racing
1615,NASDAQ,National Association of Securities Dealers Automated Quotation
1616,NASL,"Name, Age, Sex, Location"
1617,NATM,Not At The Moment
1618,NATO,North Atlantic Treaty Organization No Action Talk Only
1619,NATTY,"Natural Light beer Smart, good, cool"
1620,NB,Not Bad Nota Bene (Latin for please note)
1621,NBA,National Basketball Association
1622,NBB,Never Been Better
1623,NBC,National Broadcasting Company
1624,NBD,No Big Deal
1625,NBF,New Best Friend
1626,NBG,Nasty But Good
1627,NBIF,No Basis In Fact
1628,NBK,Natural Born Killers Never Been Kissed
